Day,Month,Year,Temperature,RH (Relative Humidity),WS (Wind Speed),Rain ,Result
3,8,2012,35,63,14,0.3,not fire   
4,8,2012,34,69,13,0,fire   
5,8,2012,34,65,13,0,fire   
6,8,2012,32,75,14,0,fire   
7,8,2012,32,69,16,0,fire   
8,8,2012,32,60,18,0.3,not fire   
9,8,2012,35,59,17,0,fire   
10,8,2012,35,55,14,0,fire   
11,8,2012,35,63,13,0,fire   
12,8,2012,35,51,13,0.3,not fire   
13,8,2012,35,63,15,0,fire   
14,8,2012,33,66,14,0,fire   
15,8,2012,36,55,13,0.3,fire   
16,8,2012,36,61,18,0.3,fire   
17,8,2012,37,52,18,0,fire   
18,8,2012,36,54,18,0,fire   
19,8,2012,35,62,19,0,fire   
20,8,2012,35,68,19,0,fire   
21,8,2012,36,58,19,0,fire   
22,8,2012,36,55,18,0,fire   
23,8,2012,36,53,16,0,fire
24,8,2012,34,64,14,0,fire   
25,8,2012,35,60,15,0,fire
26,8,2012,31,78,18,0,fire 
27,8,2012,33,82,21,0,fire
28,8,2012,34,64,16,0,fire 
29,8,2012,35,48,18,0,fire   
30,8,2012,35,70,17,0.8,not fire   
31,8,2012,28,80,21,16.8,not fire
1,9,2012,25,76,17,7.2,not fire 
2,9,2012,22,86,15,10.1,not fire
3,9,2012,25,78,15,3.8,not fire   
4,9,2012,29,73,17,0.1,not fire   
5,9,2012,29,75,16,0,fire   
6,9,2012,29,74,19,0.1,not fire   
7,9,2012,31,71,17,0.3,not fire   
8,9,2012,30,73,17,0.9,not fire   
9,9,2012,30,77,15,1,not fire   
10,9,2012,33,73,12,1.8,not fire   
11,9,2012,30,77,21,1.8,not fire   
12,9,2012,29,88,13,0,not fire   
13,9,2012,25,86,21,4.6,not fire   
14,9,2012,22,76,26,8.3,not fire   
15,9,2012,24,82,15,0.4,not fire   
16,9,2012,30,65,14,0,not fire   
17,9,2012,31,52,14,0,fire   
18,9,2012,32,49,11,0,fire   
19,9,2012,29,57,14,0,fire   
20,9,2012,28,84,18,0,fire
21,9,2012,31,55,11,0,fire   
22,9,2012,31,50,19,0.6,not fire   
23,9,2012,32,54,11,0.5,not fire   
24,9,2012,29,65,19,0.6,not fire   
25,9,2012,26,81,21,5.8,not fire   
26,9,2012,31,54,11,0,not fire   
27,9,2012,31,66,11,0,fire   
28,9,2012,32,47,14,0.7,not fire   
29,9,2012,26,80,16,1.8,not fire   
30,9,2012,25,78,14,1.4,not fire   
1,6,2012,32,71,12,0.7,not fire   
2,6,2012,30,73,13,4,not fire   
3,6,2012,29,80,14,2,not fire   
4,6,2012,30,64,14,0,not fire   
5,6,2012,32,60,14,0.2,not fire   
6,6,2012,35,54,11,0.1,fire   
7,6,2012,35,44,17,0.2,fire   
8,6,2012,28,51,17,1.3,not fire   
9,6,2012,27,59,18,0.1,not fire   
10,6,2012,30,41,15,0,fire   
11,6,2012,31,42,21,0,fire   
12,6,2012,27,58,17,0,fire   
13,6,2012,30,52,15,2,not fire   
14,6,2012,27,79,16,0.7,not fire   
15,6,2012,28,90,15,0,not fire   
16,6,2012,29,87,15,0.4,not fire   
17,6,2012,31,69,17,4.7,not fire   
18,6,2012,33,62,10,8.7,not fire   
19,6,2012,32,67,14,4.5,not fire   
20,6,2012,31,72,14,0.2,not fire   
21,6,2012,32,55,14,0,fire   
22,6,2012,33,46,14,1.1,not fire   
23,6,2012,33,59,16,0.8,not fire   
24,6,2012,35,68,16,0,fire   
25,6,2012,34,70,16,0,fire   
26,6,2012,36,62,16,0,fire   
27,6,2012,36,55,15,0,fire   
28,6,2012,37,37,13,0,fire   
29,6,2012,37,36,13,0.6,fire   
30,6,2012,34,42,15,1.7,not fire     
1,7,2012,28,58,18,2.2,not fire   
2,7,2012,33,48,16,0,fire   
3,7,2012,34,56,17,0.1,fire   
4,7,2012,34,58,18,0,fire   
5,7,2012,34,45,18,0,fire   
6,7,2012,35,42,15,0.3,fire   
7,7,2012,38,43,13,0.5,fire   
8,7,2012,35,47,18,6,fire   
9,7,2012,36,43,15,1.9,fire   
10,7,2012,34,51,16,3.8,not fire   
11,7,2012,34,56,15,2.9,not fire   
12,7,2012,36,44,13,0,fire   
13,7,2012,39,45,13,0.6,fire   
14,7,2012,37,37,18,0.2,
15,7,2012,34,45,17,0,fire   
16,7,2012,31,83,17,0,fire   
17,7,2012,32,81,17,0,fire   
18,7,2012,33,68,15,0,fire   
19,7,2012,34,58,16,0,fire   
20,7,2012,36,50,16,0,fire   
21,7,2012,36,29,18,0,fire   
22,7,2012,32,48,18,0,fire   
23,7,2012,31,71,17,0,fire   
24,7,2012,33,63,17,1.1,not fire   
25,7,2012,39,64,9,1.2,not fire   
26,7,2012,35,58,10,0.2,not fire   
27,7,2012,29,87,18,0,not fire   
28,7,2012,33,57,16,0,fire   
29,7,2012,34,59,16,0,fire   
30,7,2012,36,56,16,0,fire   
31,7,2012,37,55,15,0,fire   
1,8,2012,38,52,14,0,not fire   
2,8,2012,40,34,14,0,fire   
3,8,2012,39,33,17,0,fire   
4,8,2012,38,35,15,0,fire   
5,8,2012,34,42,17,0.1,fire   
6,8,2012,30,54,14,3.1,not fire   
7,8,2012,34,63,13,2.9,not fire   
8,8,2012,37,56,11,0,fire   
9,8,2012,39,43,12,0,fire   
10,8,2012,39,39,15,0.2,fire   
11,8,2012,40,31,15,0,fire   
12,8,2012,39,21,17,0.4,fire   
13,8,2012,35,34,16,0.2,fire   
14,8,2012,37,40,13,0,fire   
15,8,2012,35,46,13,0.3,fire   
16,8,2012,40,41,10,0.1,fire   
17,8,2012,42,24,9,0,fire   
18,8,2012,37,37,14,0,fire   
19,8,2012,35,66,15,0.1,fire   
20,8,2012,36,81,15,0,fire   
21,8,2012,36,71,15,0,fire   
22,8,2012,37,53,14,0,fire   
23,8,2012,36,43,16,0,fire   
24,8,2012,35,38,15,0,fire   
25,8,2012,34,40,18,0,fire   
26,8,2012,33,37,16,0,fire   
27,8,2012,36,54,14,0,fire   
28,8,2012,35,56,14,0.4,not fire   
29,8,2012,35,53,17,0.5,fire   
30,8,2012,34,49,15,0,fire   
31,8,2012,30,59,19,0,fire   
1,9,2012,29,86,16,0,not fire   
2,9,2012,28,67,19,0,not fire   
3,9,2012,28,75,16,0,fire   
4,9,2012,30,66,15,0.2,not fire   
5,9,2012,30,58,12,4.1,not fire   
6,9,2012,34,71,14,6.5,not fire   
7,9,2012,31,62,15,0,fire   
8,9,2012,30,88,14,0,fire   
9,9,2012,30,80,15,0,fire   
10,9,2012,29,74,15,1.1,not fire   
11,9,2012,30,73,14,0,not fire   
12,9,2012,31,72,14,0,fire   
13,9,2012,29,49,19,0,fire   
14,9,2012,28,81,15,0,fire   
15,9,2012,32,51,13,0,fire   
16,9,2012,33,26,13,0,fire   
17,9,2012,34,44,12,0,fire   
18,9,2012,36,33,13,0.1,fire   
19,9,2012,29,41,8,0.1,fire   
20,9,2012,34,58,13,0.2,not fire   
21,9,2012,35,34,17,0,fire   
22,9,2012,33,64,13,0,fire   
23,9,2012,35,56,14,0,fire   
24,9,2012,26,49,6,2,not fire   
25,9,2012,28,70,15,0,not fire   
26,9,2012,30,65,14,0,fire   
27,9,2012,28,87,15,4.4,not fire   
28,9,2012,27,87,29,0.5,not fire   
29,9,2012,24,54,18,0.1,not fire   
30,9,2012,24,64,15,0.2,not fire    
